"","Country","year","AverageTemperature_2013","AverageTemperature_avg","variance","difference"
"93","Guatemala",2013,24.2913333333333,23.1066546345811,1.40346361927728,1.18467869875223
"94","Guernsey",2013,10.803625,10.9136283764612,0.012100742832874,-0.110003376461243
"95","Guinea",2013,26.68675,25.4494167242041,1.53099363539189,1.23733327579593
"96","Guinea Bissau",2013,27.90675,26.7577245205217,1.3202595524904,1.14902547947833
"97","Guyana",2013,26.6875,25.9263007532468,0.57942429325771,0.761199246753247
"98","Haiti",2013,27.0315555555556,26.2697769493881,0.580306644814493,0.761778606167496
"99","Heard Island And Mcdonald Islands",2013,3.19375,2.55703859044995,0.405401419051206,0.636711409550046
"100","Honduras",2013,25.7323333333333,24.6869875222816,1.09274786468332,1.04534581105169
"101","Hong Kong",2013,23.690375,22.66186901341,1.05782456445155,1.02850598659004
"102","Hungary",2013,12.3015,9.68461640279197,6.84807976133647,2.61688359720804
"103","Iceland",2013,2.92025,1.37960672738622,2.37358169345009,1.54064327261378
"104","India",2013,25.41325,23.8563208387189,2.42402841324733,1.55692916128105
"105","Indonesia",2013,26.467,25.674342656121,0.628305664805373,0.792657343879039
"106","Iran",2013,20.541,17.6126597757233,8.57517646911672,2.92834022427667
"107","Iraq",2013,24.2405,21.7684432502683,6.1110645738943,2.47205674973175
"108","Ireland",2013,9.97475,9.40128156565657,0.32886604518831,0.573468434343434
"109","Isle Of Man",2013,9.230375,9.35298308932017,0.015032743566742,-0.122608089320167
"110","Israel",2013,21.222375,19.5770913525499,2.70695828056674,1.64528364745011
"111","Italy",2013,14.165,12.706737175122,2.12653046642114,1.45826282487799
"112","Jamaica",2013,27.1253333333333,26.0805926727593,1.09148304785658,1.04474066057399
"113","Japan",2013,12.96475,11.9538588631985,1.02190089046391,1.01089113680154
"114","Jersey",2013,10.803625,10.9136283764612,0.012100742832874,-0.110003376461243
"115","Jordan",2013,21.319125,19.2817954228698,4.15071180584947,2.03732957713019
"116","Kazakhstan",2013,8.93725,5.15401258875888,14.3128853098144,3.78323741124112
"117","Kenya",2013,24.93525,24.1008025574898,0.696302534311825,0.834447442510207
"118","Kingman Reef",2013,27.843875,27.1348431933842,0.502726102792832,0.709031806615776
"119","Kiribati",2013,27.551375,26.7386494043488,0.660522893826548,0.81272559565117
"120","Kuwait",2013,27.273375,25.0107696753247,5.11938285524914,2.26260532467533
"121","Kyrgyzstan",2013,6.263125,3.22607074175824,9.2236985675044,3.03705425824176
